image_id,width,height,identity,split
014689.jpg,125,173,8968.0,train
016992.jpg,104,144,8968.0,train
127124.jpg,169,234,8968.0,train
021316.jpg,86,119,8968.0,train
143226.jpg,101,140,4126.0,train
088865.jpg,109,151,4126.0,train
133174.jpg,127,176,4126.0,train
102304.jpg,255,353,4126.0,train
038572.jpg,465,644,4126.0,train
041129.jpg,174,241,4126.0,train
158590.jpg,169,234,4126.0,train
133975.jpg,421,583,4126.0,train
056173.jpg,827,1145,4126.0,train
009122.jpg,208,288,4126.0,train
014783.jpg,172,238,4126.0,train
089284.jpg,450,623,4126.0,train
017481.jpg,117,162,4126.0,train
062403.jpg,101,140,4126.0,train
055253.jpg,380,526,4126.0,train
128578.jpg,346,479,4126.0,train
010765.jpg,130,180,4126.0,train
010971.jpg,515,713,4126.0,train
134828.jpg,192,266,4126.0,train
013744.jpg,112,155,4126.0,train
156140.jpg,112,155,5765.0,train
082376.jpg,640,886,5765.0,train
141647.jpg,156,216,5765.0,train
100468.jpg,182,252,5765.0,train
048939.jpg,244,338,5765.0,train
049150.jpg,226,313,5765.0,train
157181.jpg,130,180,5765.0,train
144264.jpg,140,194,5765.0,train
057760.jpg,263,364,5765.0,train
002015.jpg,187,259,5765.0,train
033800.jpg,127,176,5765.0,train
098620.jpg,75,104,5765.0,train
034305.jpg,252,349,5765.0,train
058722.jpg,133,184,5765.0,train
051151.jpg,130,180,5765.0,train
139690.jpg,127,176,5765.0,train
002302.jpg,369,511,5765.0,train
015621.jpg,143,198,5765.0,train
144289.jpg,239,331,5765.0,train
029887.jpg,286,396,5765.0,train
152748.jpg,1058,1465,4439.0,train
087057.jpg,182,252,4439.0,train
139453.jpg,117,162,4439.0,train
097107.jpg,125,173,4439.0,train
052684.jpg,432,598,4439.0,train
066630.jpg,195,270,4439.0,train
157007.jpg,172,238,4439.0,train
140116.jpg,73,101,4439.0,train
075881.jpg,122,169,4439.0,train
013599.jpg,270,374,4439.0,train
037975.jpg,81,112,4439.0,train
095903.jpg,151,209,4439.0,train
041319.jpg,190,263,4439.0,train
084491.jpg,276,382,4439.0,train
074707.jpg,699,968,4439.0,train
132247.jpg,96,133,4439.0,train
016015.jpg,231,320,4439.0,train
021201.jpg,153,212,4439.0,train
140363.jpg,218,302,4439.0,train
025615.jpg,75,104,4439.0,train
154655.jpg,257,356,5146.0,train
090955.jpg,125,173,5146.0,train
140142.jpg,104,144,5146.0,train
095824.jpg,148,205,5146.0,train
050108.jpg,192,266,5146.0,train
055687.jpg,182,252,5146.0,train
157013.jpg,127,176,5146.0,train
142907.jpg,125,173,5146.0,train
074127.jpg,130,180,5146.0,train
004362.jpg,172,238,5146.0,train
030481.jpg,161,223,5146.0,train
092590.jpg,99,137,5146.0,train
041423.jpg,205,284,5146.0,train
082067.jpg,234,324,5146.0,train
066352.jpg,122,169,5146.0,train
130391.jpg,291,403,5146.0,train
008555.jpg,153,212,5146.0,train
017811.jpg,135,187,5146.0,train
149494.jpg,161,223,5146.0,train
027217.jpg,400,554,5146.0,train
131262.jpg,361,500,9023.0,train
072064.jpg,268,371,9023.0,train
112325.jpg,494,684,9023.0,train
078107.jpg,270,374,9023.0,train
026067.jpg,764,1058,9023.0,train
026547.jpg,239,331,9023.0,train
139419.jpg,213,295,9023.0,train
117372.jpg,699,968,9023.0,train
052754.jpg,237,328,9023.0,train
000668.jpg,156,216,9023.0,train
006720.jpg,671,929,9023.0,train
077927.jpg,387,536,9023.0,train
023136.jpg,294,407,9023.0,train
057686.jpg,185,256,9023.0,train
038932.jpg,161,223,9023.0,train
111940.jpg,226,313,9023.0,train
001487.jpg,520,720,9023.0,train
002070.jpg,174,241,9023.0,train
122925.jpg,1079,1494,9023.0,train
003217.jpg,117,162,9023.0,train
149887.jpg,62,86,4436.0,train
081049.jpg,133,184,4436.0,train
126084.jpg,159,220,4436.0,train
090156.jpg,226,313,4436.0,train
039714.jpg,231,320,4436.0,train
040317.jpg,426,590,4436.0,train
151377.jpg,270,374,4436.0,train
134268.jpg,226,313,4436.0,train
056675.jpg,122,169,4436.0,train
003739.jpg,187,259,4436.0,train
016370.jpg,185,256,4436.0,train
082927.jpg,148,205,4436.0,train
029313.jpg,133,184,4436.0,train
070312.jpg,281,389,4436.0,train
053761.jpg,143,198,4436.0,train
112218.jpg,73,101,4436.0,train
004076.jpg,281,389,4436.0,train
007460.jpg,224,310,4436.0,train
135289.jpg,530,734,4436.0,train
007619.jpg,114,158,4436.0,train
147874.jpg,1352,1872,4437.0,train
084172.jpg,892,1235,4437.0,train
121495.jpg,866,1199,4437.0,train
085577.jpg,959,1328,4437.0,train
044300.jpg,377,522,4437.0,train
045672.jpg,185,256,4437.0,train
149865.jpg,260,360,4437.0,train
130043.jpg,343,475,4437.0,train
080475.jpg,387,536,4437.0,train
002705.jpg,780,1080,4437.0,train
036556.jpg,723,1001,4437.0,train
084375.jpg,1115,1544,4437.0,train
038821.jpg,694,961,4437.0,train
081508.jpg,653,904,4437.0,train
073185.jpg,640,886,4437.0,train
119092.jpg,185,256,4437.0,train
003105.jpg,923,1278,4437.0,train
006661.jpg,530,734,4437.0,train
137598.jpg,458,634,4437.0,train
009375.jpg,759,1051,4437.0,train
155760.jpg,395,547,1051.0,train
096255.jpg,208,288,1051.0,train
137672.jpg,957,1325,1051.0,train
107226.jpg,278,385,1051.0,train
044635.jpg,666,922,1051.0,train
051572.jpg,447,619,1051.0,train
156095.jpg,346,479,1051.0,train
138594.jpg,426,590,1051.0,train
077157.jpg,99,137,1051.0,train
010406.jpg,200,277,1051.0,train
030234.jpg,156,216,1051.0,train
097513.jpg,172,238,1051.0,train
034193.jpg,211,292,1051.0,train
080729.jpg,148,205,1051.0,train
062753.jpg,200,277,1051.0,train
122898.jpg,234,324,1051.0,train
011343.jpg,291,403,1051.0,train
012876.jpg,764,1058,1051.0,train
148864.jpg,234,324,1051.0,train
029002.jpg,283,392,1051.0,train
125941.jpg,413,572,6583.0,train
050891.jpg,148,205,6583.0,train
091026.jpg,681,943,6583.0,train
051536.jpg,195,270,6583.0,train
028430.jpg,291,403,6583.0,train
028842.jpg,257,356,6583.0,train
144354.jpg,151,209,6583.0,train
094668.jpg,208,288,6583.0,train
042198.jpg,244,338,6583.0,train
007985.jpg,198,274,6583.0,train
015228.jpg,159,220,6583.0,train
050957.jpg,257,356,6583.0,train
023953.jpg,216,299,6583.0,train
042996.jpg,205,284,6583.0,train
039601.jpg,434,601,6583.0,train
086533.jpg,231,320,6583.0,train
008045.jpg,166,230,6583.0,train
012090.jpg,203,281,6583.0,train
095833.jpg,104,144,6583.0,train
013058.jpg,109,151,6583.0,train
158589.jpg,382,529,1054.0,train
082447.jpg,996,1379,1054.0,train
134560.jpg,260,360,1054.0,train
101304.jpg,283,392,1054.0,train
044833.jpg,211,292,1054.0,train
045139.jpg,107,148,1054.0,train
159357.jpg,172,238,1054.0,train
147945.jpg,400,554,1054.0,train
071737.jpg,166,230,1054.0,train
003030.jpg,148,205,1054.0,train
017272.jpg,400,554,1054.0,train
089783.jpg,286,396,1054.0,train
021547.jpg,130,180,1054.0,train
077565.jpg,364,504,1054.0,train
062073.jpg,1388,1922,1054.0,train
130234.jpg,286,396,1054.0,train
004954.jpg,322,446,1054.0,train
015294.jpg,304,421,1054.0,train
151470.jpg,218,302,1054.0,train
016791.jpg,889,1231,1054.0,train
139660.jpg,286,396,1025.0,train
087328.jpg,166,230,1025.0,train
110100.jpg,247,306,1025.0,train
090800.jpg,304,421,1025.0,train
026659.jpg,247,342,1025.0,train
031594.jpg,140,194,1025.0,train
141367.jpg,749,1037,1025.0,train
119987.jpg,491,680,1025.0,train
042090.jpg,270,374,1025.0,train
006581.jpg,283,392,1025.0,train
016285.jpg,237,328,1025.0,train
089408.jpg,448,688,1025.0,train
017619.jpg,125,173,1025.0,train
042992.jpg,211,292,1025.0,train
036691.jpg,159,220,1025.0,train
107006.jpg,239,331,1025.0,train
011147.jpg,762,1055,1025.0,train
012818.jpg,112,155,1025.0,train
129902.jpg,179,248,1025.0,train
013187.jpg,177,245,1025.0,train
140284.jpg,182,252,2334.0,train
102064.jpg,309,428,2334.0,train
129456.jpg,179,248,2334.0,train
104022.jpg,520,720,2334.0,train
042917.jpg,242,335,2334.0,train
060202.jpg,265,367,2334.0,train
156833.jpg,213,295,2334.0,train
136425.jpg,359,497,2334.0,train
087391.jpg,211,292,2334.0,train
001749.jpg,88,122,2334.0,train
028369.jpg,276,382,2334.0,train
103450.jpg,88,122,2334.0,train
028877.jpg,122,169,2334.0,train
087996.jpg,221,306,2334.0,train
074171.jpg,153,212,2334.0,train
121063.jpg,252,349,2334.0,train
010057.jpg,169,234,2334.0,train
024126.jpg,237,328,2334.0,train
138385.jpg,107,148,2334.0,train
025422.jpg,559,774,2334.0,train
149694.jpg,161,223,8987.0,train
078468.jpg,218,302,8987.0,train
124691.jpg,185,256,8987.0,train
095570.jpg,250,346,8987.0,train
038854.jpg,192,266,8987.0,train
040954.jpg,172,238,8987.0,train
150938.jpg,107,148,8987.0,train
136583.jpg,187,259,8987.0,train
049945.jpg,99,137,8987.0,train
003923.jpg,127,176,8987.0,train
015685.jpg,148,205,8987.0,train
092181.jpg,156,216,8987.0,train
027933.jpg,242,335,8987.0,train
061742.jpg,60,83,8987.0,train
049850.jpg,104,144,8987.0,train
121429.jpg,125,173,8987.0,train
012113.jpg,504,698,8987.0,train
013371.jpg,237,328,8987.0,train
136663.jpg,203,281,8987.0,train
015292.jpg,359,497,8987.0,train
156661.jpg,335,464,6576.0,train
064057.jpg,273,378,6576.0,train
148641.jpg,273,378,6576.0,train
069936.jpg,216,299,6576.0,train
033900.jpg,195,270,6576.0,train
038297.jpg,304,421,6576.0,train
157997.jpg,302,418,6576.0,train
150391.jpg,218,302,6576.0,train
049343.jpg,276,382,6576.0,train
013401.jpg,268,371,6576.0,train
017362.jpg,286,396,6576.0,train
067821.jpg,255,353,6576.0,train
018553.jpg,291,403,6576.0,train
053052.jpg,208,288,6576.0,train
042442.jpg,1144,1584,6576.0,train
136396.jpg,281,389,6576.0,train
014670.jpg,312,432,6576.0,train
016143.jpg,361,500,6576.0,train
151561.jpg,153,212,6576.0,train
017163.jpg,257,356,6576.0,train
150689.jpg,161,223,8971.0,train
089265.jpg,153,212,8971.0,train
114735.jpg,125,173,8971.0,train
099000.jpg,250,346,8971.0,train
038978.jpg,127,176,8971.0,train
051819.jpg,146,202,8971.0,train
150698.jpg,442,612,8971.0,train
135492.jpg,712,986,8971.0,train
063947.jpg,164,227,8971.0,train
002751.jpg,151,209,8971.0,train
014916.jpg,174,241,8971.0,train
095214.jpg,309,428,8971.0,train
028927.jpg,114,158,8971.0,train
065690.jpg,120,166,8971.0,train
061753.jpg,117,162,8971.0,train
107478.jpg,234,324,8971.0,train
009006.jpg,109,151,8971.0,train
013470.jpg,94,130,8971.0,train
147336.jpg,270,374,8971.0,train
014275.jpg,159,220,8971.0,train
151343.jpg,426,590,9024.0,train
109109.jpg,179,248,9024.0,train
134841.jpg,133,184,9024.0,train
119119.jpg,356,493,9024.0,train
078554.jpg,359,497,9024.0,train
078782.jpg,403,558,9024.0,train
156244.jpg,179,248,9024.0,train
148234.jpg,133,184,9024.0,train
094352.jpg,671,929,9024.0,train
024385.jpg,764,1058,9024.0,train
044302.jpg,629,871,9024.0,train
117995.jpg,169,234,9024.0,train
046417.jpg,200,277,9024.0,train
097643.jpg,224,310,9024.0,train
094143.jpg,983,1361,9024.0,train
133952.jpg,273,378,9024.0,train
027439.jpg,619,857,9024.0,train
043064.jpg,151,209,9024.0,train
148989.jpg,510,706,9024.0,train
043513.jpg,692,958,9024.0,train
140144.jpg,299,414,1011.0,train
095600.jpg,192,266,1011.0,train
131175.jpg,442,612,1011.0,train
099169.jpg,148,205,1011.0,train
064461.jpg,185,256,1011.0,train
068284.jpg,268,371,1011.0,train
155697.jpg,351,486,1011.0,train
133536.jpg,400,554,1011.0,train
078416.jpg,257,356,1011.0,train
014636.jpg,302,418,1011.0,train
027549.jpg,120,166,1011.0,train
098417.jpg,281,389,1011.0,train
028211.jpg,252,349,1011.0,train
079057.jpg,634,878,1011.0,train
077432.jpg,390,540,1011.0,train
129903.jpg,172,238,1011.0,train
020455.jpg,341,472,1011.0,train
022130.jpg,231,320,1011.0,train
136603.jpg,315,436,1011.0,train
026581.jpg,564,781,1011.0,train
149289.jpg,104,144,5147.0,train
076919.jpg,302,418,5147.0,train
120752.jpg,120,166,5147.0,train
087242.jpg,377,522,5147.0,train
046001.jpg,187,259,5147.0,train
046985.jpg,364,504,5147.0,train
155704.jpg,81,112,5147.0,train
132806.jpg,101,140,5147.0,train
059351.jpg,83,115,5147.0,train
000548.jpg,143,198,5147.0,train
011150.jpg,221,306,5147.0,train
079516.jpg,91,126,5147.0,train
015650.jpg,101,140,5147.0,train
064790.jpg,107,148,5147.0,train
058069.jpg,107,148,5147.0,train
120216.jpg,83,115,5147.0,train
004684.jpg,109,151,5147.0,train
007139.jpg,117,162,5147.0,train
140578.jpg,148,205,5147.0,train
008871.jpg,151,209,5147.0,train
140511.jpg,148,205,6603.0,train
101310.jpg,244,338,6603.0,train
120507.jpg,190,263,6603.0,train
107179.jpg,237,328,6603.0,train
054790.jpg,140,194,6603.0,train
055072.jpg,216,299,6603.0,train
146549.jpg,203,281,6603.0,train
120808.jpg,354,490,6603.0,train
081807.jpg,198,274,6603.0,train
003535.jpg,244,338,6603.0,train
027233.jpg,452,626,6603.0,train
107169.jpg,88,122,6603.0,train
032214.jpg,218,302,6603.0,train
089885.jpg,343,475,6603.0,train
073412.jpg,148,205,6603.0,train
117993.jpg,159,220,6603.0,train
006853.jpg,200,277,6603.0,train
010168.jpg,260,360,6603.0,train
128323.jpg,312,432,6603.0,train
024728.jpg,242,335,6603.0,train
132832.jpg,148,205,9114.0,train
085511.jpg,208,288,9114.0,train
121281.jpg,169,234,9114.0,train
090585.jpg,180,155,9114.0,train
058769.jpg,333,461,9114.0,train
062221.jpg,216,299,9114.0,train
159025.jpg,231,320,9114.0,train
123847.jpg,257,356,9114.0,train
072450.jpg,166,230,9114.0,train
016601.jpg,151,209,9114.0,train
038019.jpg,135,187,9114.0,train
085855.jpg,234,324,9114.0,train
042682.jpg,190,263,9114.0,train
078969.jpg,146,202,9114.0,train
070315.jpg,153,212,9114.0,train
116902.jpg,151,209,9114.0,train
032675.jpg,127,176,9114.0,train
035399.jpg,133,184,9114.0,train
123856.jpg,192,266,9114.0,train
037116.jpg,195,270,9114.0,train
146280.jpg,148,205,9087.0,train
090893.jpg,88,122,9087.0,train
126244.jpg,99,124,9087.0,train
107529.jpg,101,140,9087.0,train
034490.jpg,91,126,9087.0,train
038907.jpg,229,317,9087.0,train
148807.jpg,187,259,9087.0,train
131759.jpg,166,230,9087.0,train
056702.jpg,320,443,9087.0,train
003311.jpg,346,479,9087.0,train
015044.jpg,1271,1760,9087.0,train
096410.jpg,205,284,9087.0,train
019204.jpg,213,295,9087.0,train
082001.jpg,463,641,9087.0,train
056180.jpg,289,400,9087.0,train
120257.jpg,816,1130,9087.0,train
009498.jpg,127,176,9087.0,train
013438.jpg,133,184,9087.0,train
135929.jpg,99,137,9087.0,train
014006.jpg,169,234,9087.0,train
152226.jpg,239,331,9084.0,train
091634.jpg,226,313,9084.0,train
134961.jpg,70,97,9084.0,train
117644.jpg,133,184,9084.0,train
055653.jpg,133,184,9084.0,train
060348.jpg,400,554,9084.0,train
153949.jpg,403,558,9084.0,train
140619.jpg,146,202,9084.0,train
085808.jpg,1139,1577,9084.0,train
000990.jpg,437,605,9084.0,train
037208.jpg,229,317,9084.0,train
111138.jpg,135,187,9084.0,train
037533.jpg,302,418,9084.0,train
086007.jpg,286,396,9084.0,train
077243.jpg,172,238,9084.0,train
134813.jpg,226,313,9084.0,train
004188.jpg,289,400,9084.0,train
025875.jpg,247,342,9084.0,train
144546.jpg,239,331,9084.0,train
027777.jpg,715,990,9084.0,train
156776.jpg,309,428,5176.0,train
082270.jpg,218,302,5176.0,train
128007.jpg,146,202,5176.0,train
084453.jpg,96,133,5176.0,train
058923.jpg,224,310,5176.0,train
059532.jpg,289,400,5176.0,train
157018.jpg,278,385,5176.0,train
128348.jpg,229,317,5176.0,train
065641.jpg,109,151,5176.0,train
000445.jpg,273,378,5176.0,train
036477.jpg,164,227,5176.0,train
083517.jpg,312,432,5176.0,train
041875.jpg,166,230,5176.0,train
067512.jpg,153,212,5176.0,train
064300.jpg,406,562,5176.0,train
124208.jpg,393,544,5176.0,train
005566.jpg,146,202,5176.0,train
007453.jpg,224,310,5176.0,train
131691.jpg,161,223,5176.0,train
036243.jpg,122,169,5176.0,train
152306.jpg,289,378,975.0,train
080402.jpg,413,534,975.0,train
125367.jpg,289,400,975.0,train
089186.jpg,229,317,975.0,train
054383.jpg,218,302,975.0,train
056178.jpg,195,243,975.0,train
157752.jpg,338,340,975.0,train
128933.jpg,190,263,975.0,train
070725.jpg,153,212,975.0,train
000344.jpg,307,346,975.0,train
037113.jpg,146,202,975.0,train
083409.jpg,153,212,975.0,train
039635.jpg,286,396,975.0,train
074610.jpg,286,396,975.0,train
059527.jpg,159,220,975.0,train
117103.jpg,962,1346,975.0,train
012914.jpg,117,162,975.0,train
022986.jpg,148,205,975.0,train
144023.jpg,406,562,975.0,train
030929.jpg,359,497,975.0,train
145572.jpg,156,216,6614.0,train
076935.jpg,101,140,6614.0,train
123096.jpg,88,122,6614.0,train
084339.jpg,107,148,6614.0,train
049303.jpg,190,263,6614.0,train
052748.jpg,179,248,6614.0,train
147897.jpg,83,115,6614.0,train
127594.jpg,156,216,6614.0,train
063185.jpg,200,277,6614.0,train
001658.jpg,1030,1426,6614.0,train
032592.jpg,130,180,6614.0,train
077645.jpg,341,472,6614.0,train
036208.jpg,122,169,6614.0,train
072204.jpg,146,202,6614.0,train
059406.jpg,156,216,6614.0,train
114194.jpg,224,310,6614.0,train
003377.jpg,146,202,6614.0,train
016068.jpg,99,137,6614.0,train
138868.jpg,133,184,6614.0,train
025235.jpg,109,151,6614.0,train
148510.jpg,94,130,2433.0,train
052772.jpg,208,288,2433.0,train
125189.jpg,551,763,2433.0,train
063191.jpg,317,439,2433.0,train
026883.jpg,195,270,2433.0,train
030708.jpg,198,274,2433.0,train
155975.jpg,582,806,2433.0,train
126034.jpg,185,256,2433.0,train
039865.jpg,88,122,2433.0,train
001251.jpg,252,349,2433.0,train
009736.jpg,192,266,2433.0,train
058595.jpg,364,504,2433.0,train
019996.jpg,130,180,2433.0,train
043810.jpg,159,220,2433.0,train
032878.jpg,213,295,2433.0,train
122935.jpg,255,353,2433.0,train
001945.jpg,572,792,2433.0,train
006018.jpg,99,137,2433.0,train
140050.jpg,107,148,2433.0,train
006168.jpg,455,630,2433.0,train
146852.jpg,177,245,2311.0,train
104480.jpg,117,162,2311.0,train
137278.jpg,335,464,2311.0,train
107969.jpg,406,562,2311.0,train
055033.jpg,226,313,2311.0,train
066823.jpg,229,317,2311.0,train
154380.jpg,99,137,2311.0,train
139157.jpg,125,173,2311.0,train
079782.jpg,387,536,2311.0,train
018739.jpg,211,292,2311.0,train
037755.jpg,439,608,2311.0,train
105246.jpg,161,223,2311.0,train
038542.jpg,237,328,2311.0,train
082915.jpg,127,176,2311.0,train
078268.jpg,117,162,2311.0,train
134977.jpg,221,306,2311.0,train
019170.jpg,364,504,2311.0,train
019789.jpg,237,328,2311.0,train
140395.jpg,237,328,2311.0,train
024581.jpg,265,367,2311.0,train
149082.jpg,237,328,2429.0,train
073967.jpg,146,202,2429.0,train
139896.jpg,216,299,2429.0,train
101112.jpg,224,310,2429.0,train
037187.jpg,177,245,2429.0,train
042485.jpg,146,202,2429.0,train
155438.jpg,151,209,2429.0,train
140741.jpg,242,335,2429.0,train
062862.jpg,135,187,2429.0,train
006320.jpg,161,223,2429.0,train
018697.jpg,182,252,2429.0,train
083323.jpg,99,137,2429.0,train
021434.jpg,91,126,2429.0,train
069707.jpg,239,331,2429.0,train
047815.jpg,81,112,2429.0,train
129487.jpg,138,191,2429.0,train
010610.jpg,169,234,2429.0,train
012094.jpg,234,324,2429.0,train
145430.jpg,200,277,2429.0,train
018133.jpg,130,180,2429.0,train
131762.jpg,221,306,9041.0,train
071527.jpg,299,414,9041.0,train
107018.jpg,125,173,9041.0,train
082903.jpg,133,184,9041.0,train
039906.jpg,234,324,9041.0,train
046019.jpg,229,317,9041.0,train
132558.jpg,476,659,9041.0,train
110800.jpg,226,313,9041.0,train
062175.jpg,213,295,9041.0,train
006815.jpg,289,400,9041.0,train
023705.jpg,182,239,9041.0,train
076266.jpg,120,166,9041.0,train
033319.jpg,166,230,9041.0,train
063646.jpg,341,472,9041.0,train
058416.jpg,304,421,9041.0,train
106654.jpg,203,281,9041.0,train
006892.jpg,153,212,9041.0,train
010752.jpg,569,788,9041.0,train
118845.jpg,330,457,9041.0,train
019004.jpg,335,464,9041.0,train
156620.jpg,125,173,2425.0,train
058842.jpg,140,194,2425.0,train
124578.jpg,174,241,2425.0,train
078792.jpg,138,191,2425.0,train
029036.jpg,161,223,2425.0,train
030030.jpg,255,353,2425.0,train
158173.jpg,257,356,2425.0,train
124693.jpg,200,277,2425.0,train
047925.jpg,156,216,2425.0,train
001693.jpg,296,410,2425.0,train
018811.jpg,151,209,2425.0,train
073468.jpg,182,252,2425.0,train
025202.jpg,130,180,2425.0,train
051270.jpg,151,209,2425.0,train
045174.jpg,338,468,2425.0,train
115745.jpg,244,338,2425.0,train
002859.jpg,263,364,2425.0,train
015244.jpg,127,176,2425.0,train
131858.jpg,400,554,2425.0,train
016389.jpg,335,464,2425.0,train
145900.jpg,218,302,992.0,train
104839.jpg,203,281,992.0,train
133659.jpg,135,187,992.0,train
114353.jpg,99,137,992.0,train
051011.jpg,200,277,992.0,train
063511.jpg,268,371,992.0,train
150978.jpg,99,137,992.0,train
135087.jpg,263,364,992.0,train
081342.jpg,135,187,992.0,train
001332.jpg,380,526,992.0,train
023878.jpg,182,252,992.0,train
114254.jpg,231,320,992.0,train
032571.jpg,161,223,992.0,train
095482.jpg,247,342,992.0,train
079476.jpg,341,472,992.0,train
133409.jpg,250,346,992.0,train
011463.jpg,1123,1555,992.0,train
014565.jpg,120,166,992.0,train
136651.jpg,302,418,992.0,train
015109.jpg,244,338,992.0,train
143430.jpg,156,216,9028.0,train
088497.jpg,112,155,9028.0,train
132224.jpg,211,292,9028.0,train
090439.jpg,242,335,9028.0,train
057608.jpg,146,202,9028.0,train
061818.jpg,429,594,9028.0,train
145335.jpg,335,464,9028.0,train
139771.jpg,304,421,9028.0,train
076414.jpg,231,320,9028.0,train
000809.jpg,588,814,9028.0,train
036853.jpg,351,486,9028.0,train
089074.jpg,1027,1422,9028.0,train
041177.jpg,135,187,9028.0,train
078504.jpg,99,137,9028.0,train
074598.jpg,148,205,9028.0,train
123602.jpg,273,378,9028.0,train
024870.jpg,874,1210,9028.0,train
025279.jpg,146,202,9028.0,train
141098.jpg,133,184,9028.0,train
026949.jpg,237,328,9028.0,train
149772.jpg,299,414,5151.0,train
101596.jpg,244,338,5151.0,train
135684.jpg,130,180,5151.0,train
109094.jpg,127,176,5151.0,train
065293.jpg,684,947,5151.0,train
065573.jpg,458,634,5151.0,train
151807.jpg,104,144,5151.0,train
138149.jpg,195,270,5151.0,train
078924.jpg,322,446,5151.0,train
000140.jpg,187,259,5151.0,train
053913.jpg,229,317,5151.0,train
107350.jpg,135,187,5151.0,train
053928.jpg,114,158,5151.0,train
082827.jpg,169,234,5151.0,train
076031.jpg,94,130,5151.0,train
133314.jpg,172,238,5151.0,train
007789.jpg,156,216,5151.0,train
020313.jpg,510,706,5151.0,train
141326.jpg,231,320,5151.0,train
050502.jpg,114,158,5151.0,train
155285.jpg,187,259,4448.0,train
089811.jpg,299,402,4448.0,train
137710.jpg,354,490,4448.0,train
100125.jpg,146,202,4448.0,train
042689.jpg,354,490,4448.0,train
055119.jpg,153,212,4448.0,train
155513.jpg,164,227,4448.0,train
144659.jpg,164,227,4448.0,train
086158.jpg,616,853,4448.0,train
003183.jpg,390,540,4448.0,train
019779.jpg,276,382,4448.0,train
096611.jpg,361,500,4448.0,train
028171.jpg,143,198,4448.0,train
088200.jpg,299,414,4448.0,train
082808.jpg,99,137,4448.0,train
135559.jpg,198,274,4448.0,train
008812.jpg,226,313,4448.0,train
015718.jpg,242,335,4448.0,train
146016.jpg,338,468,4448.0,train
017047.jpg,200,277,4448.0,train
150714.jpg,179,248,1088.0,train
100649.jpg,281,389,1088.0,train
131489.jpg,515,713,1088.0,train
113977.jpg,211,292,1088.0,train
053314.jpg,250,346,1088.0,train
060399.jpg,421,583,1088.0,train
151577.jpg,874,1210,1088.0,train
139499.jpg,226,313,1088.0,train
083989.jpg,598,828,1088.0,train
005707.jpg,156,216,1088.0,train
020502.jpg,198,274,1088.0,train
103782.jpg,218,302,1088.0,train
032421.jpg,226,313,1088.0,train
089194.jpg,356,493,1088.0,train
070648.jpg,125,173,1088.0,train
128611.jpg,413,572,1088.0,train
007325.jpg,270,374,1088.0,train
010409.jpg,195,270,1088.0,train
142475.jpg,169,234,1088.0,train
013408.jpg,270,374,1088.0,train
148158.jpg,185,256,2461.0,train
074896.jpg,296,410,2461.0,train
125536.jpg,1270,2092,2461.0,train
086899.jpg,556,770,2461.0,train
032997.jpg,237,328,2461.0,train
035438.jpg,289,400,2461.0,train
160476.jpg,172,238,2461.0,train
128775.jpg,203,281,2461.0,train
048581.jpg,174,241,2461.0,train
000857.jpg,255,353,2461.0,train
014875.jpg,179,248,2461.0,train
083960.jpg,146,202,2461.0,train
017767.jpg,133,184,2461.0,train
070042.jpg,91,126,2461.0,train
035876.jpg,257,356,2461.0,train
111616.jpg,138,191,2461.0,train
